sock,[сок],носок
Sunday,[сAндэй],воскресенье
solution,[сэлЮ:шн],решение; раствор
curtain,[кЁртэн],"занавеска, штора"
love,[лав],любовь; любить
sure,[шУэ],уверенный
its,[итс],его (неодуш.)
purple,[пё:рпл],фиолетовый; пурпурный
sing,[сИнг],петь
comfortable,[кАмфэртэбэл],комфортный
thank you,[сэнк ю],спасибо
opportunity,[опэртъЮ:нэти],(благоприятная) возможность
pen,[пэн],ручка
acquaintance,[экуЭйнтэнс],знакомый; знакомство
radio,[рЭйдиоу],радио
furniture,[фЁ:ничэ],мебель
against,[эгЭйнст],против
among,[эмАнг],среди
flu,[флу:],грипп
cream,[кри:м],крем
habit,[хЭбит],привычка
soap,[сOуп],мыло; намыливать
kilometer,[кИлэми:тэр],километр
perhaps,[пёрхЭпс],"возможно, может быть"
put on,[пут он],надевать
speak,[спи:к],разговаривать
good,[гуд],хороший; добрый
colleague,[кОли:г],коллега
horse,[хо:рс],лошадь
luck,[лак],удача
wear,[уЭэр],носить (одежду); одежда
stone,[стОун],камень
fifteen,[фИфтИ:н],пятнадцать
delay,[дилЭй],"задержка, отсрочка"
dark,[да:рк],тёмный
eight,[эйт],восемь
rain,[рэйн],дождь
honest,[Онист],честный
eighteen,[ЭйтИ:н],восемнадцать
heavy,[хЭви],тяжёлый
in,[ин],в (где)
always,[O:лвэйз],всегда
knee,[ни:],колено
but,[бат],но
an other,[(эн)Азэр],другой
write,[райт],писать
the day before yesterday,[зэ дэй бифО:р йЭстэдэй],позавчера
worst,[уо:рст],худший
joke,[джOук],шутить; шутка
busy,[бИзи],занятый
two,[ту:],два
appreciate,[эпрИ:шиэйт],ценить; быть признательным
carry,[кЭри],нести
parents,[пЭэрэнтс],родители
fox,[фокс],лиса
less,[лэс],меньше (по количеству); менее
see,[си:],видеть
just,[джаст],только что; справедливый
scissors,[сИзэрз],ножницы
since,[синс],с (такого-то времени и поныне)
village,[вИлидж],деревня
blouse,[блАуз],блузка
door,[до:р],дверь
guest,[гэст],гость
melon,[мЭлон],дыня
excuse,[икскъюз],извинение
count,[кАунт],подсчитывать
soda,[сOуда],газировка
invitation,[инвитЭйшн],приглашение
chimney,[чИмни],дымовая труба
cake,[кэйк],торт
clock,[клок],часы
cost,[кост],стоить
this,[зис],этот
especially,[испЭшэли],особенно
six,[сикс],шесть
comb,[коум],расчёска; расчесывать
decide,[дисАйд],принимать решение
seventeen,[сЭвэнтИ:н],семнадцать
spicy,[спAйси],острый (по вкусу)
word,[уо:рд],слово
path,[па:с],тропинка
behavior,[бихЭйвъэр],поведение
lend,[лэнд],одолжить
call,[ко:л],звать; звонить
jacket,[джЭкит],пиджак; куртка
notebook,[нОутбук],блокнот
party,[пА:рти],вечеринка
curd,[кЁ:рд],творог
pink,[пинк],розовый
onion,[Аниэн],лук
collect,[кэлЭкт],собирать
excellent,[Эксэлэнт],"отличный, великолепный"
discount,[дискАунт],скидка
fish,[фиш],рыба; рыбачить
cheese,[чи:з],сыр
elephant,[Элэфэнт],слон
well,[уЭл],хорошо; колодец
kilogram,[кИлэгрэм],килограмм
bone,[бОун],кость
men,[мен],мужчины
chicken,[чИкин],цыпленок; курица
jump,[джамп],прыгать; прыжок
school,[ску:л],школа
black,[блэк],чёрный
bus,[бас],автобус
anybody,[Энибоди],кто-то; все
death,[дэс],смерть
loud,[лАуд],громкий
fall,[фо:л],падать
return,[ритЁ:рн],"возвращать(ся); возврат, возвращение"
provide,[провАйд],обеспечивать
coast,[кОуст],побережье
height,[хайт],высота
through,[сру:],через
hard,[ха:рд],твёрдый; трудный; усердно
actor,[Эктэр],актер
dad,[дЭд],папа
fight,[файт],"бороться, драться; борьба"
without,[уизAут],без
university,[юнивЁ:рсити],университет
key,[ки:],ключ; клавиша
health,[хэлс],здоровье
oven,[Авэн],"печь, духовка"
only,[Оунли],только
knife,[найф],нож
wife,[уАйф],жена
all,[о:л],все; всё; весь
single,[сингл],"холостой, незамужняя; один(окий)"
pretty,[прИти],симпатичный
warm,[уо:рм],тёплый; тепло
joy,[джой],радость
house,[хАус],дом (здание)
soul,[сОул],душа
night,[найт],ночь
duty,[дъЮ:ти],обязанность; дежурный
snow,[снOу],снег
married,[мЭрид],женатый/замужняя
bra,[бра:],бюстгальтер
explain,[иксплЭйн],объяснять
not,[нот],не
kettle,[кэтл],чайник; котел
jam,[джэм],варенье
healthy,[хЭлси],здоровый
bank,[бэнк],банк
ball,[бо:л],мяч
oatmeal,[Оутми:л],овсянка
fast,[фаст],"быстрый, быстро"
circumstance,[сЁ:ркэмстэнс],обстоятельство
listen,[лисн],слушать
carpet,[кА:рпит],ковер
address,[эдрЭс],адрес
to,[ту],к; в (куда)
pan,[пэн],кастрюля
bed,[бэд],кровать
glass,[гла:с],стакан; стекло
microwave,[мАйкроууэйв],микроволновка
bread,[брэд],хлеб
these,[зи:з],эти
almost,[O:лмоуст],почти
head,[хед],голова; руководитель
meet,[ми:т],встречать
agree,[эгрИ:],соглашаться
police,[пОлис],полиция
there,[зЭэ],там; туда
delicious,[дилИшес],очень вкусный
because of,[бикО:з ов],из-за
ship,[шип],корабль
zero,[зИэроу],ноль
cutlet,[кАтлит],котлета
bill,[бил],счёт
luggage,[лAгидж],багаж
play,[плэй],"играть; спектакль, пьеса"
pupil,[пъюпл],ученик
color,[кАлэр],цвет
kind,[кайнд],"добрый; вид, тип"
cabbage,[кЭбидж],капуста
fine,[файн],прекрасный; штраф; штрафовать
fork,[фо:рк],вилка 
five,[файв],пять
cold,[кOулд],холодный; холод; простуда
story,[стОри],рассказ
mouth,[мАус],рот
slow,[слOу],медленный
maiden name,[мЭйдэн нэйм],девичья фамилия
exercise,[Эксэрсайз],упражнение
bag,[бэг],сумка
paper,[пЭйпэр],бумага
mitten,[мИтэн],варежка
how many,[хАу мЭни],сколько (+ слово во множественном числе)
plum,[плам],слива
light,[лайт],лёгкий; светлый; свет
table,[тэйбл],стол
thick,[сик],толстый; густой
spring,[спринг],весна
benefit,[бЭнэфит],"польза, выгода"
purse,[пё:рс],дамская сумка; кошелек
effort,[Эфэрт],усилие
teach,[ти:ч],обучать
church,[чё:рч],церковь
hard-working,[ха:рд уО:ркинг],трудолюбивый
bucket,[бAкит],ведро
above,[эбАв],"над, выше"
wine,[уайн],вино
TV,[тИви],телевизор
man,[мэн],мужчина
river,[рИвэр],река
wall,[уО:л],стена
open,[Oупэн],открывать; открытый
game,[гейм],игра
wish,[уИш],желать; желание
trousers,[трAузэрз],"брюки, штаны"
hold,[хOулд],держать
cap,[кэп],шапка; кепка
spoon,[спу:н],ложка
sickness,[сИкнис],болезнь
bake,[бэйк],печь
cabinet,[кЭбинэт],шкафчик
grape,[грэйп],виноград
shorts,[шо:ртс],шорты
teeth,[ти:с],зубы
afternoon,[а:фтэрнУ:н],день (после полудня)
late,[лэйт],поздний; поздно
bitter,[бИтэр],горький
what,[уот],что; какой
fifth,[фифс],пятый
event,[ивЭнт],событие
useless,[Ю:слис],бесполезный
window,[уИндоу],окно
smoke,[смОук],курить; дым
pipe,[пайп],труба
tree,[три:],дерево
have to,[хэв ту],"быть должным, вынужденным"
moon,[му:н],луна
shop,[шоп],магазин
vacation,[вэйкЭйшэн],"отпуск, каникулы"
smell,[смэл],пахнуть; нюхать; запах
really,[рИэли],"действительно, правда?"
offer,[Офэр],предлагать; предложение
short,[шо:рт],короткий; низкий (о росте)
park,[па:рк],парк
first,[фё:рст],первый; сначала
hello,[хэлОу],здравствуйте
city,[сИти],город
cheap,[чи:п],дешёвый
step,[стэп],шаг; ступать
with,[уиз],с
profit,[прОфит],"прибыль, доход"
necessary,[нЭсэсэри],необходимый
the day after tomorrow,[зэ дэй А:фтэр томОроу],послезавтра
package,[пЭкидж],посылка; упаковка
be afraid of,[би: эфрЭйд ов],бояться
ask,[а:ск],спрашивать; просить
throw,[срOу],"кидать, бросать"
fence,[фэнс],забор
behind,[бихAйнд],позади
somebody,[сАмбоди],кто-то
catch,[кэч],ловить; подхватить (болезнь)
geese,[ги:с],гуси
pork,[по:рк],свинина
question,[куЭсчэн],вопрос
jeans,[джи:нз],джинсы
beauty,[бъЮ:ти],красота; красавица
get up,[гэт ап],вставать
entrance,[Энтрэнс],вход
argument,[А:ргъюмэнт],спор; аргумент
yet,[йет],еще (не)
Easter,[И:стэр],Пасха
giraffe,[джирА:ф],жираф
sugar,[шУгэ],сахар
center,[сЭнтэр],центр
than,[зЭн],чем (при сравнении)
England,[Инглэнд],Англия
stand,[стэнд],стоять; стенд
rich,[рич],богатый
send,[сэнд],посылать
land,[лэнд],"земля, участок"
better,[бЭтэр],лучше; более хороший
sidewalk,[сАйдуо:к],тротуар
where,[уЭэ],где; куда
song,[сонг],песня
eleven,[илЭвн],одиннадцать
year,[йИэр],год
wind,[уинд],ветер
forehead,[фО:рхед],лоб
lunch,[ланч],обед
present,[прэзнт],подарок
run,[ран],бежать
depth,[дэпс],глубина
feet,[фи:т],ноги
sun,[сан],солнце
huge,[хъюдж],огромный
season,[сИ:зэн],сезон
neighbor,[нЭйбэр],сосед
note,[нОут],записка
sneeze,[сни:з],чихать
July,[джулAй],июль
berry,[бЭри],ягода
blue,[блу:],голубой; синий
surprise,[сё:рпрАйз],удивлять; сюрприз
sweater,[суэтэр],свитер
dance,[да:нс],танцевать
Wednesday,[уЭнздэй],среда
length,[лэнгс],длина
autumn,[O:тэм],осень
how,[хАу],как
stay,[стэй],останавливаться (в гостинице)
place,[плэйс],место; помещать
dish,[диш],блюдо
animal,[Энимэл],животное
cousin,[казн],двоюродный брат или сестра
apricot,[Эйприкот],абрикос
September,[сэптЭмбэр],сентябрь
post office,[пОуст Офис],почта
surface,[сЁ:рфис],поверхность; всплывать
exactly,[игзЭктли],точно
iron,[Aйрон],утюг; железо; гладить (утюгом)
Tuesday,[тъЮ:здэй],вторник
many,[мЭни],много (+ слово во множественном числе)
room,[рум],комната
June,[джу:н],июнь
because,[бикО:з],"потому что, так как"
fever,[фИ:вэр],"жар, (высокая) температура"
get,[гет],получать
again,[эгЭйн],"снова, опять"
think,[синк],думать
blanket,[блЭнкит],одеяло
place of birth,[плэйс ов бё:рс],место рождения
mark,[ма:рк],"оценка, знак; отметить"
she,[ши:],она
juice,[джу:с],сок
stupid,[ступид],глупый
lie,[лай],лежать; лгать; ложь
now,[нAу],"сейчас, теперь"
field,[фи:лд],поле
ceiling,[сИ:линг],потолок
long,[лонг],длинный; долгий
feed,[фи:д],кормить
size,[сайз],размер
yellow,[йEлоу],жёлтый
pair,[пЭэр],пара
argue,[A:ргъю],спорить
child,[чайлд],ребенок
envelope,[Энвилоуп],конверт
birth,[бё:рс],рождение
map,[мэп],карта (географическая)
nephew,[нЭфъю:],племянник
cut,[кат],резать
body,[бОди],тело
flour,[флАуэр],мука
cry,[край],"плакать, кричать"
decision,[дисИ:жн],"решение, принятие решения"
angry,[Энгри],сердитый
meal,[ми:л],"еда, принятие пищи"
quiet,[куАйэт],тихий
cherry,[чЭри],вишня
study,[стАди],учиться (в вузе); изучать
sister,[сИстэр],сестра
careful,[кЭэфул],внимательный; осторожный
grass,[гра:с],трава
street,[стри:т],улица
drink,[дринк],пить
lesson,[лэсн],урок
below,[билОу],"под, ниже"
nineteen,[нAйнтИ:н],девятнадцать
windowsill,[уИндоусил],подоконник
building,[бИлдинг],здание; строительство
punish,[пАниш],наказывать
when,[уэн],когда
stockings,[стОкингз],чулки
morning,[мо:рнинг],утро
still,[стил],(всё) еще
task,[та:ск],задание
frying pan,[фрАйинг пэн],сковородка
up,[ап],вверх
bring,[бринг],"приносить, привозить"
dinner,[дИнэр],ужин
mushroom,[мАшрум],гриб
milk,[милк],молоко
corn,[ко:рн],кукуруза; зерно
so,[сOу],так; таким образом; поэтому
brave,[брэйв],смелый
terrible,[тЭрибл],ужасный
forward,[фО:р'уэрд],вперед; передний
nobody,[нОубоди],никто
marital status,[мЭритэл стЭйтэс],семейное положение
certainly,[сЁ:тэнли],"конечно, безусловно"
name,[нэйм],"имя, фамилия"
road,[рОуд],дорога
under,[Aндэр],под
reason,[рИ:зэн],причина; размышлять
rabbit,[рЭбит],кролик; заяц
brother,[брАзэр],брат
sad,[сэд],печальный
water,[уотэр],вода; поливать
may,[мэй],мочь (иметь разрешение)
like,[лайк],"нравиться, любить"
probably,[прOбэбли],вероятно
permit,[пёрмИт],разрешение; разрешать
toilet,[тОйлит],туалет
lamp,[лЭмп],лампа
clean,[кли:н],чистый; чистить
bye,[бAй],до свидания
hundred,[хАндрид],сто
grandfather,[грЭнфА:зэр],"дедушка, бабушка"
read,[ри:д],читать
cucumber,[къЮкамбэр],огурец
mug,[маг],кружка
talk,[то:к],разговаривать; разговор
mirror,[мИрор],зеркало
relationship,[рилЭйшэншип],отношение
fog,[фог],туман
weak,[уИ:к],слабый
grow,[грОу],"расти, выращивать"
support,[сэпО:рт],поддерживать; поддержка
watermelon,[уOтэрмэлэн],арбуз
gas,[гЭс],бензин
sometimes,[сАмтаймз],иногда
briefs,[бри:фс],трусы мужские
sea,[си:],море
yogurt,[йОгэт],йогурт
cheek,[чи:к],"щека; наглость, нахальство"
plane,[плэйн],самолет
their,[зЭэ],их
cow,[кАу],корова
go,[гOу],идти; ехать
mountain,[мАунтин],гора
be,[би:],"быть, являться"
pepper,[пЭпэр],перец; поперчить
frog,[фрог],лягушка
even,[И:вэн],даже
ear,[Иэр],ухо; колос
sculpture,[скАлпчэ],скульптура
May,[мэй],май
tram,[трэм],трамвай
avoid,[эвОйд],избегать
lazy,[лЭйзи],ленивый
handsome,[хЭнсэм],красивый (о мужчине)
shy,[шай],застенчивый
hotel,[хоутЭл],гостиница
April,[Эйприл],апрель
panties,[пЭнтиз],трусы женские
train,[трэйн],поезд
fridge,[фридж],холодильник
film,[филм],фильм
battery,[бЭтэри],батарейка
sharp,[ша:рп],острый (не тупой)
match,[мэтч],соответствовать; матч; спичка
tie,[тай],галстук; привязывать
strong,[стронг],сильный
please,[пли:з],пожалуйста
calendar,[кЭлиндэр],календарь
passion,[пэшн],страсть
car,[ка:р],автомобиль
best,[бэст],лучший
cookie,[кУки],печенье
from,[фром],из
underwear,[Андэуээ],нижнее белье
close,[клOуз],закрывать
receive,[рисИ:в],получать
life,[лайф],жизнь
also,[О:лсоу],также
thing,[синг],вещь
copybook,[кОпибук],тетрадь
enough,[инAф],достаточно
celebrate,[сЭлибрэйт],праздновать
garlic,[гА:рлик],чеснок
beach,[би:ч],пляж
full,[фул],сытый; полный
salad,[сЭлэд],салат
ugly,[Агли],уродливый
chief,[чи:ф],начальник; шеф
ruler,[рУ:лэр],линейка; правитель
complain,[комплЭйн],жаловаться
egg,[эг],яйцо
bridge,[бридж],мост
right,[райт],правый; правильный; справа; направо
suit,[съют],костюм; иск; соответствовать
friend,[фрэнд],друг
squirrel,[скуИрэл],белка
you,[ю:],ты; вы; Вы
thin,[син],тонкий
border,[бО:рдэр],граница
apple,[эпл],яблоко
November,[ноувЭмбэр],ноябрь
live,[лив],жить
mess,[мэс],беспорядок
pharmacy,[фА:рмаси],аптека
stop,[стоп],остановка; останавливаться
polite,[пэлАйт],вежливый
put,[пут],"помещать, ставить, класть"
toe,[тОу],палец (ноги)
coat,[коут],пальто
test,[тэст],"тест, тестировать"
his,[хиз],его
ham,[хэм],ветчина
fat,[фэт],"толстый, жирный; жир"
shoes,[шу:з],обувь
customs,[кАстэмз],таможня
dear,[дИэр],"дорогой, милый"
each,[и:ч],каждый (по отдельности)
difficult,[дИфикалт],"трудный, тяжелый"
mother,[мАзэр],мать
yesterday,[йЭстэдэй],вчера
usually,[Ю:жу:эли],обычно
money,[мAни],деньги
noisy,[нОйзи],шумный
sixteen,[сИкстИ:н],шестнадцать
what a pity,[уот э пИти],как жаль
student,[стъЮдэнт],студент
aunt,[а:нт],тетя
come,[кам],"приходить, приезжать"
roof,[ру:ф],крыша
who,[ху:],кто
pie,[пай],пирог
time,[тайм],время; раз
find,[файнд],находить
hammer,[хЭмэр],молоток; бить молотком
try,[трай],"пытаться, пробовать"
lips,[липс],губы
garden,[га:рдн],сад
glove,[глав],перчатка
dream,[дри:м],мечтать; мечта; сон
sneakers,[снИ:кэрз],кроссовки
danger,[дЭйнджэр],опасность
market,[мА:ркит],рынок
take,[тэйк],брать
hour,[Aуэр],час
able,[эйбл],способный
large,[ла:рдж],"большой, просторный"
nut,[нат],орех
waste,[уэйст],отходы
crossroads,[крОсроудз],перекрёсток
want,[уонт],хотеть
change,[чэйндж],"(из)менять; переодеваться; сдача, мелочь"
or,[о:р],или
smile,[смайл],улыбаться; улыбка
that,[зэт],что; тот; который
thousand,[сAузэнд],тысяча
client,[клАйэнт],клиент
wire,[уАйэр],проволока; провод
about,[эбАут],"о; около, приблизительно"
worker,[уО:ркэр],рабочий
four,[фо:р],четыре
artist,[А:ртист],художник
price,[прайc],цена
ticket,[тикит],билет
often,[Оф(т)эн],часто
mail,[мэйл],почта; отправлять по почте
cook,[кук],готовить
brush,[браш],щетка; кисточка; чистить щеткой
pleasure,[плЭжэ],удовольствие
worry,[уОри],беспокоить(ся); беспокойство
fruit,[фру:т],фрукты
persuade,[пёcуЭйд],убеждать
cup,[кап],чашка
sorry,[сOри],извините
letter,[лЭтэр],письмо; буква
ice-cream,[Aйскри:м],мороженое
shave,[шэйв],брить
lawyer,[лО:ер],"адвокат, юрист"
development,[дивЭлэпмэнт],развитие
calm,[ка:м],спокойный; успокаивать
every,[Эври],каждый
memory,[мЭмэри],память; воспоминание
how much,[хАу мач],сколько (+ слово в единственном числе)
sour,[сАуэр],кислый
page,[пэйдж],страница
spice,[спайс],"специя, пряность"
laptop,[лЭптоп],ноутбук
strange,[стрэйндж],странный; чужой; незнакомый
thirteen,[сЁ:ртИ:н],тринадцать
account,[экАунт],счет (банковский)
carrot,[кЭрэт],морковь
journalist,[джЁ:рнэлист],журналист
husband,[хАзбэнд],муж
dictionary,[дИкшэнэри],словарь
mistake,[мистЭйк],ошибка
delivery,[дилИвэри],доставка; поставка
square,[скуЭэр],площадь
help,[хэлп],помогать; помощь
leaf,[ли:ф],лист (дерева)
turn,[тё:рн],"повернуть; поворот; очередь, черед"
station,[стэйшн],станция
uncle,[анкл],дядя
theater,[сИ:этэр],театр
area,[Ээриэ],"область, район; площадь (фигуры)"
obviously,[Обвиэсли],очевидно
fit,[фит],соответствовать
tired,[тАйэрд],усталый
magazine,[мэгэзИ:н],журнал
he,[хи:],он
minute,[мИнит],минута
napkin,[нЭпкин],салфетка
suitcase,[сУткэйс],чемодан
banana,[бэнЭнэ],банан
salty,[сО:лти],соленый
photo,[фОутоу],фото
soft,[софт],мягкий; нежный
some,[сам],несколько; немного
tomato,[томA:тоу],помидор
gift,[гифт],подарок; дар
pear,[пЭэр],груша
between,[битуИ:н],между
do,[ду:],делать (действовать)
skirt,[скё:рт],юбка
thought,[cо:т],мысль
most,[мОуст],наибольший; больше всего
white,[уайт],белый
dishes,[дИшиз],посуда
work,[уо:рк],работать; работа
driver,[дрАйвэр],водитель
lead,[ли:д],вести
cardigan,[кА:рдигэн],кофта
summer,[сAмэр],лето
become,[бикАм],становиться
boy,[бой],мальчик
al though,[о:л зОу],хотя
honey,[хАни],мёд
feeling,[фИ:линг],чувство
win,[уин],побеждать
attractive,[этрЭктив],привлекательный
will,[уил],для образования буд. времени
beans,[би:нз],бобы
toy,[той],игрушка
nose,[нОуз],нос
clever,[клЭвэр],умный
nurse,[нё:рс],медсестра
stick,[стик],палка; втыкать
December,[дисЭмбэр],декабрь
influence,[Инфлуэнс],влиять; влияние
Thursday,[сё:рздэй],четверг
meaning,[мИ:нинг],"значение, смысл"
say,[сэй],сказать
pea,[пи:],горох
mouse,[мАус],мышь
surname,[сЁ:нэйм],фамилия
thank,[сэнк],благодарить
new,[нъю:],новый
sky,[скай],небо
fun,[фан],веселье
tip,[тип],чаевые; кончик
February,[фЭбруэри],февраль
save,[сэйв],спасать; сохранять
widowed,[уидоуд],овдовевший
pig,[пиг],свинья
useful,[Ю:сфэл],полезный
young,[янг],молодой
raspberry,[рА:збэри],малина
problem,[прOблем],проблема
sick,[сик],больной
something,[сАмсинг],что-то
vegetables,[вЭджитэблз],овощи
peace,[пи:с],мир (покой)
belt,[бэлт],"ремень, пояс"
smart,[сма:рт],умный; нарядный
faucet,[фО:сит],кран (водопроводный)
and,[энд],и
restaurant,[рЭстронт],ресторан
describe,[дискрАйб],описывать
her,[хё:],её
nail,[нэйл],ноготь; гвоздь; прибивать
ocean,[Оушн],океан
worse,[уо:рс],хуже; более плохой
competitor,[кэмпЭтитэр],соперник
father-in-law,[фА:зэр ин лО:],"тесть, свекор ..."
newspaper,[нъЮ:зпэйпер],газета
tights,[тайтс],колготки
much,[мач],много (+ слово в единственном числе)
several,[сЭвэрэл],несколько
experience,[икспИэриэнс],"опыт, переживание"
more,[мо:р],больше (по количеству); еще (больше)
dress,[дрэс],платье; одевать(ся)
swim,[суим],плавать
wait,[уэйт],ждать
measure,[мЭжэ],измерение; измерять
meeting,[мИ:тинг],встреча
believe,[билИ:в],верить
back,[бЭк],спина; назад
tomorrow,[томОроу],завтра
rest,[рэст], отдыхать; отдых
few,[фъю:],мало (+ слово во множественном числе)
towel,[тАуэл],полотенце
box,[бокс],"коробка, ящик; боксировать"
my,[май],мой
heart,[ха:рт],сердце
running nose,[рАнинг нОуз],насморк
keyboard,[кИ:бо:рд],клавиатура
cool,[ку:л],прохладный; прохладно; круто; охлаждать(ся)
strength,[стрэнгс],сила; прочность
armchair,[А:рмчээр],кресло
easy,[И:зи],"легкий, нетрудный"
should,[шуд],быть должным (следует)
watch,[уотч],наблюдать; наручные часы
very,[вЭри],очень
second,[сЭкэнд],второй; секунда
green,[гри:н],зелёный
movie,[мУви],кино
sadness,[сЭднис],печаль
wrist,[рист],запястье
seventy,[сЭвэнти],семьдесят
then,[зэн],потом; тогда
number,[нАмбэр],число; количество; номер
distance,[дИстэнс],дистанция
evening,[И:внинг],вечер
tasty,[тЭйсти],вкусный
coward,[кАуэрд],трусливый
intend,[интЭнд],намереваться
goal,[гОул],цель; гол
why,[уай],"почему, зачем"
boot,[бу:т],ботинок; сапог
air,[Ээр],воздух
grey,[грэй],серый
throat,[срОут],горло
language,[лЭнгуидж],язык
elbow,[Элбоу],локоть
purchase,[пЁ:рчэс],"покупка, покупать"
blunt,[блант],"тупой (нож, человек)"
sweet,[суи:т],конфета; сладкий
balcony,[бЭлкони],балкон
hear,[хИэ],слышать
transport,[трЭнспо:рт],"транспорт, транспортировать"
socket,[сОкит],розетка
nice,[найс],"красивый, приятный"
least,[ли:ст],наименьший; меньше всего
Christmas,[крИсмэс],Рождество
wash,[уош],"мыть, cтирать"
music,[мъЮзик],музыка
if,[иф],если
fire,[фАйэр],огонь; пожар; стрелять
we,[уи:],мы
enjoy,[инджОй],наслаждаться
know,[нОу],знать
last,[ла:ст],"последний, прошлый"
little,[литл],мало (+ слово в единственном числе); маленький
walk,[уо:к],гулять; идти пешком
degree,[дигрИ:],градус
bear,[бЭэр],медведь
drop,[дроп],"ронять, снижение"
pineapple,[пАйнэпл],ананас
mustache,[мэстА:ш],усы
clothes,[клОуз],одежда
advice,[эдвАйс],совет
disturb,[дистЁ:рб],"беспокоить, мешать"
left,[лэфт],левый; cлева; налево
be surprised,[би: сёпрАйзд],удивляться
temperature,[тЭмпрэчэ],температура
handkerchief,[хЭнкёчиф],носовой платок
accountant,[экАунтэнт],бухгалтер
island,[Айлэнд],остров
buy,[бай],покупать
free,[фри:],свободный; бесплатный
forgive,[фэргИв],прощать
sink,[синк],тонуть; опускаться; раковина
chocolate,[чOклит],шоколад
divorced,[дивО:рст],разведенный
squash,[скуОш],кабачок
bun,[бан],булочка
cloud,[клАуд],облако
peach,[пи:ч],персик
