hi,[хай],привет
breakfast,[брЭкфэст],завтрак
lunch,[ланч],обед
dinner,[дИнэр],ужин
transport,[трЭнспо:рт],"транспорт, транспортировать"
plane,[плэйн],самолет
car,[ка:р],автомобиль
tram,[трэм],трамвай
bus,[бас],автобус
train,[трэйн],поезд
ship,[шип],корабль
bicycle,[бAйсикл],велосипед
time,[тайм],время; раз
minute,[мИнит],минута
hour,[Aуэр],час
week,[уи:к],неделя
year,[йИэр],год
century,[сЭнчэри],столетие
the day before yesterday,[зэ дэй бифО:р йЭстэдэй],позавчера
yesterday,[йЭстэдэй],вчера
today,[тудЭй],сегодня (днем)
tonight,[тунАйт],сегодня вечером (ночью)
tomorrow,[томОроу],завтра
the day after tomorrow,[зэ дэй А:фтэр томОроу],послезавтра
day,[дэй],день
morning,[мо:рнинг],утро
afternoon,[а:фтэрнУ:н],день (после полудня)
evening,[И:внинг],вечер
night,[найт],ночь
Monday,[мAндэй],понедельник
Tuesday,[тъЮ:здэй],вторник
Wednesday,[уЭнздэй],среда
Thursday,[сё:рздэй],четверг
Friday,[фрAйдэй],пятница
Saturday,[сЭтэрдэй],суббота
Sunday,[сAндэй],воскресенье
month,[манс],месяц
January,[джЭнъюэри],январь
February,[фЭбруэри],февраль
March,[ма:рч],март
April,[Эйприл],апрель
May,[мэй],май
June,[джу:н],июнь
July,[джулAй],июль
August,[O:гэст],август
September,[сэптЭмбэр],сентябрь
October,[октOубэр],октябрь
November,[ноувЭмбэр],ноябрь
December,[дисЭмбэр],декабрь
season,[сИ:зэн],сезон
spring,[спринг],весна
summer,[сAмэр],лето
autumn,[O:тэм],осень
winter,[уИнтэр],зима
holiday,[хOлидэй],праздник; отпуск
Christmas,[крИсмэс],Рождество
Easter,[И:стэр],Пасха
birthday,[бё:рсдэй],день рождения
form,[фо:рм],"анкета, форма, бланк"
name,[нэйм],"имя, фамилия"
first name,[фё:рст нэйм],имя
surname,[сЁ:нэйм],фамилия
maiden name,[мЭйдэн нэйм],девичья фамилия
birth date,[бё:рс дэйт],дата рождения
place of birth,[плэйс ов бё:рс],место рождения
address,[эдрЭс],адрес
marital status,[мЭритэл стЭйтэс],семейное положение
single,[сингл],"холостой, незамужняя; один(окий)"
married,[мЭрид],женатый/замужняя
divorced,[дивО:рст],разведенный
widowed,[уидоуд],овдовевший
thing,[синг],вещь
pen,[пэн],ручка
pencil,[пЭнсил],карандаш
book,[бук],книга
copybook,[кОпибук],тетрадь
notebook,[нОутбук],блокнот
note,[нОут],записка
dictionary,[дИкшэнэри],словарь
letter,[лЭтэр],письмо; буква
envelope,[Энвилоуп],конверт
paper,[пЭйпэр],бумага
newspaper,[нъЮ:зпэйпер],газета
magazine,[мэгэзИ:н],журнал
phone,[фОун],телефон
clock,[клок],часы
comb,[коум],расчёска; расчесывать
TV,[тИви],телевизор
iron,[Aйрон],утюг; железо; гладить (утюгом)
soap,[сOуп],мыло; намыливать
radio,[рЭйдиоу],радио
bag,[бэг],сумка
backpack,[бЭкпэк],рюкзак
map,[мэп],карта (географическая)
card,[ка:рд],открытка; карточка
suitcase,[сУткэйс],чемодан
present,[прэзнт],подарок
camera,[кЭмэрэ],фотоаппарат; видеокамера
vase,[ва:з],ваза
handkerchief,[хЭнкёчиф],носовой платок
ball,[бо:л],мяч
balloon,[бэлу:н],воздушный шар
toy,[той],игрушка
ticket,[тикит],билет
luggage,[лAгидж],багаж
battery,[бЭтэри],батарейка
bucket,[бAкит],ведро
rope,[рOуп],веревка
board,[бо:рд],доска; борт
calendar,[кЭлиндэр],календарь
laptop,[лЭптоп],ноутбук
brush,[браш],"щетка; кисточка; чистить щеткой"
keyboard,[кИ:бо:рд],клавиатура
key,[ки:],ключ; клавиша
wheel,[уИ:л],колесо
steering wheel,[стИринг уИ:л],руль
trunk,[транк],багажник; ствол; хобот
gas,[гЭс],бензин
purse,[пё:рс],дамская сумка; кошелек
wallet,[уОлит],бумажник
lamp,[лЭмп],лампа
ruler,[рУ:лэр],линейка; правитель
shovel,[шАвэл],лопата; рыть
machine,[мэшИ:н],машина; механизм
hammer,[хЭмэр],молоток; бить молотком
scissors,[сИзэрз],ножницы
glasses,[глА:сиз],очки
package,[пЭкидж],посылка; упаковка
stick,[стик],палка; втыкать
glue,[глу:],клей; приклеивать
gift,[гифт],подарок; дар
towel,[тАуэл],полотенце
mail,[мэйл],почта; отправлять по почте
wire,[уАйэр],проволока; провод
page,[пэйдж],страница
torch,[то:рч],карманный фонарь; факел
box,[бокс],"коробка, ящик; боксировать"
blanket,[блЭнкит],одеяло
sheet,[ши:т],простыня; лист(ок)
pillow,[пИлоу],подушка
clothes,[клОуз],одежда
shoes,[шу:з],обувь
boot,[бу:т],ботинок; сапог
sneakers,[снИ:кэрз],кроссовки
coat,[коут],пальто
dress,[дрэс],платье; одевать(ся)
suit,[съют],"костюм; иск; соответствовать"
shirt,[шё:рт],рубашка
blouse,[блАуз],блузка
skirt,[скё:рт],юбка
glove,[глав],перчатка
mitten,[мИтэн],варежка
hat,[хэт],шляпа
cap,[кэп],шапка; кепка
jacket,[джЭкит],пиджак; куртка
cardigan,[кА:рдигэн],кофта
scarf,[ска:рф],шарф
sock,[сок],носок
sweater,[суэтэр],свитер
T-shirt,[тИ:шё:рт],футболка
tie,[тай],галстук; привязывать
trousers,[трAузэрз],"брюки, штаны"
shorts,[шо:ртс],шорты
tights,[тайтс],колготки
stockings,[стОкингз],чулки
jeans,[джи:нз],джинсы
hood,[худ],капюшон; капот
belt,[бэлт],"ремень, пояс"
underwear,[Андэуээ],нижнее белье
briefs,[бри:фс],трусы мужские
panties,[пЭнтиз],трусы женские
bra,[бра:],бюстгальтер
body,[бОди],тело
head,[хед],"голова; руководитель"
face,[фэйс],лицо
forehead,[фО:рхед],лоб
nose,[нОуз],нос
ear,[Иэр],ухо; колос
mouth,[мАус],рот
throat,[срОут],горло
eye,[ай],глаз
eyebrow,[Aйбрау],бровь
lips,[липс],губы
tooth,[ту:с],зуб
teeth,[ти:с],зубы
hair,[хЭэр],волосы
mustache,[мэстА:ш],усы
cheek,[чи:к],"щека; наглость, нахальство"
chin,[чин],подбородок
neck,[нек],шея
shoulder,[шОулдэр],плечо
chest,[чест],грудь
heart,[ха:рт],сердце
stomach,[стАмэк],желудок; живот
back,[бЭк],спина; назад
wrist,[рист],запястье
hand,[хЭнд],"рука, кисть (руки)"
finger,[фИнгэр],палец (руки)
nail,[нэйл],ноготь; гвоздь; прибивать
elbow,[Элбоу],локоть
leg,[лэг],нога; ножка
knee,[ни:],колено
foot,[фут],"нога, ступня"
feet,[фи:т],ноги
heel,[хи:л],пятка; каблук
toe,[тОу],палец (ноги)
beard,[бИэрд],борода
bone,[бОун],кость
health,[хэлс],здоровье
healthy,[хЭлси],здоровый
sick,[сик],больной
sickness,[сИкнис],болезнь
fever,[фИ:вэр],"жар, (высокая) температура"
cough,[коф],кашель; кашлять
running nose,[рАнинг нОуз],насморк
sneeze,[сни:з],чихать
pain,[пэйн],боль
headache,[хЕдэйк],головная боль
flu,[флу:],грипп
bruise,[бру:з],"синяк, ушиб"
event,[ивЭнт],событие
birth,[бё:рс],рождение
game,[гейм],игра
lesson,[лэсн],урок
vacation,[вэйкЭйшэн],"отпуск, каникулы"
party,[пА:рти],вечеринка
meeting,[мИ:тинг],встреча
wedding,[уЭдинг],свадьба
negotiation,[нигоушиЭйшэн],переговоры
trip,[трип],"поездка, путешествие"
death,[дэс],смерть
weather,[уЭзэр],погода
sun,[сан],солнце
moon,[му:н],луна
wind,[уинд],ветер
fog,[фог],туман
rain,[рэйн],дождь
snow,[снOу],снег
sky,[скай],небо
cloud,[клАуд],облако
air,[Ээр],воздух
temperature,[тЭмпрэчэ],температура
degree,[дигрИ:],градус
art,[а:рт],искусство
music,[мъЮзик],музыка
song,[сонг],песня
literature,[лИтрэчэ],литература
story,[стОри],рассказ
movie,[мУви],кино
film,[филм],фильм
sculpture,[скАлпчэ],скульптура
picture,[пИкчэр],картина
photo,[фОутоу],фото
advertising,[эдвэртАйзинг],реклама
purchase,[пЁ:рчэс],"покупка, покупать"
size,[сайз],размер
price,[прайc],цена
money,[мAни],деньги
cash,[кэш],наличные (деньги)
discount,[дискАунт],скидка
account,[экАунт],счет (банковский)
bill,[бил],счёт
tip,[тип],чаевые; кончик
measure,[мЭжэ],измерение; измерять
distance,[дИстэнс],дистанция
length,[лэнгс],длина
height,[хайт],высота
depth,[дэпс],глубина
strength,[стрэнгс],сила; прочность
speed,[спи:д],скорость
kilometer,[кИлэми:тэр],километр
kilogram,[кИлэгрэм],килограмм
pound,[пАунд],фунт
feeling,[фИ:линг],чувство
fun,[фан],веселье
joy,[джой],радость
fear,[фИэр],страх; бояться
sadness,[сЭднис],печаль
passion,[пэшн],страсть
pleasure,[плЭжэ],удовольствие
happiness,[хЭпинис],счастье
peace,[пи:с],мир (покой)
love,[лав],любовь; любить
hate,[хэйт],ненависть; ненавидеть
world,[уО:рлд],мир (планета)
soul,[сОул],душа
life,[лайф],жизнь
knowledge,[нОлидж],знание
task,[та:ск],задание
exercise,[Эксэрсайз],упражнение
luck,[лак],удача
problem,[прOблем],проблема
opportunity,[опэртъЮ:нэти],(благоприятная) возможность
ability,[эбИлэти],способность
beauty,[бъЮ:ти],красота; красавица
danger,[дЭйнджэр],опасность
experience,[икспИэриэнс],"опыт, переживание"
memory,[мЭмэри],память; воспоминание
benefit,[бЭнэфит],"польза, выгода"
advantage,[эдвЭнтидж],преимущество
profit,[прОфит],"прибыль, доход"
habit,[хЭбит],привычка
reason,[рИ:зэн],причина; размышлять
consequence,[кОнсэкуэнс],(по)следствие
meaning,[мИ:нинг],"значение, смысл"
means,[мИ:нз],способ
effort,[Эфэрт],усилие
success,[саксЭс],успех; успешный человек
goal,[гОул],цель; гол
miracle,[мИрэкл],чудо
science,[сАйэнс],наука
language,[лЭнгуидж],язык
word,[уо:рд],слово
fire,[фАйэр],огонь; пожар; стрелять
case,[кейс],случай; дело; чехол
circumstance,[сЁ:ркэмстэнс],обстоятельство
thought,[cо:т],мысль
choice,[чойс],выбор
permit,[пёрмИт],разрешение; разрешать
delivery,[дилИвэри],доставка; поставка
achievement,[эчИвмент],достижение
duty,[дъЮ:ти],обязанность; дежурный
delay,[дилЭй],"задержка, отсрочка"
relationship,[рилЭйшэншип],отношение
mark,[ма:рк],"оценка, знак; отметить"
mistake,[мистЭйк],ошибка
behavior,[бихЭйвъэр],поведение
invitation,[инвитЭйшн],приглашение
development,[дивЭлэпмэнт],развитие
decision,[дисИ:жн],"решение, принятие решения"
solution,[сэлЮ:шн],решение; раствор
advice,[эдвАйс],совет
agreement,[эгрИ:мэнт],соглашение; договор
list,[лист],список; перечислять
argument,[А:ргъюмэнт],спор; аргумент
test,[тэст],"тест, тестировать"
step,[стэп],шаг; ступать
piece,[пи:с],кусок; часть; пьеса
area,[Ээриэ],"область, район; площадь (фигуры)"
pair,[пЭэр],пара
couple,[капл],пара; чета
surface,[сЁ:рфис],поверхность; всплывать
mess,[мэс],беспорядок
question,[куЭсчэн],вопрос
what,[уот],что; какой
who,[ху:],кто
where,[уЭэ],где; куда
how,[хАу],как
why,[уай],"почему, зачем"
when,[уэн],когда
how many,[хАу мЭни],сколько (+ слово во множественном числе)
how much,[хАу мач],сколько (+ слово в единственном числе)
I,[ай],я
you,[ю:],ты; вы
he,[хи:],он
she,[ши:],она
it,[ит],оно
we,[уи:],мы
they,[зэй],они
my,[май],мой
your,[ё:],твой; ваш
his,[хиз],его
her,[хё:],её
its,[итс],его (неодуш.)
our,[Aуэ],наш
their,[зЭэ],их
from,[фром],из
to,[ту],к; в (куда)
in,[ин],в (где)
on,[он],на
under,[Aндэр],под
behind,[бихAйнд],позади
with,[уиз],с
without,[уизAут],без
in front of,[ин франт ов],перед
before,[бифO:р],до
after,[Aфтэр],после
between,[битуИ:н],между
near,[нИэ],"возле, около; близко"
for,[фо:р],для; на (такое-то время)
since,[синс],с (такого-то времени и поныне)
during,[дъЮринг],во время
around,[эрAунд],вокруг
because of,[бикО:з ов],из-за
about,[эбАут],"о; около, приблизительно"
against,[эгЭйнст],против
among,[эмАнг],среди
through,[сру:],через
per,[пё:р],(километров) в (час)
above,[эбАв],"над, выше"
below,[билОу],"под, ниже"
number,[нАмбэр],число; количество; номер
zero,[зИэроу],ноль
one,[уан],один
two,[ту:],два
three,[сри:],три
four,[фо:р],четыре
five,[файв],пять
six,[сикс],шесть
seven,[сЭвэн],семь
eight,[эйт],восемь
nine,[найн],девять
ten,[тэн],десять
eleven,[илЭвн],одиннадцать
twelve,[туэлв],двенадцать
thirteen,[сЁ:ртИ:н],тринадцать
fourteen,[фO:ртИ:н],четырнадцать
fifteen,[фИфтИ:н],пятнадцать
sixteen,[сИкстИ:н],шестнадцать
seventeen,[сЭвэнтИ:н],семнадцать
eighteen,[ЭйтИ:н],восемнадцать
nineteen,[нAйнтИ:н],девятнадцать
twenty,[туЭнти],двадцать
thirty,[сЁ:ти],тридцать
forty,[фO:рти],сорок
fifty,[фИфти],пятьдесят
sixty,[сИксти],шестьдесят
seventy,[сЭвэнти],семьдесят
eighty,[Эйти],восемьдесят
ninety,[нAйнти],девяносто
hundred,[хАндрид],сто
thousand,[сAузэнд],тысяча
first,[фё:рст],первый; сначала
second,[сЭкэнд],второй; секунда
third,[сё:рд],третий
fourth,[фо:рс],четвертый
fifth,[фифс],пятый
color,[кАлэр],цвет
black,[блэк],чёрный
blue,[блу:],голубой; синий
brown,[брАун],коричневый
green,[гри:н],зелёный
grey,[грэй],серый
red,[рэд],красный
white,[уайт],белый
yellow,[йEлоу],жёлтый
pink,[пинк],розовый
purple,[пё:рпл],фиолетовый; пурпурный
old,[Oулд],старый
young,[янг],молодой
new,[нъю:],новый
big,[биг],большой
large,[ла:рдж],"большой, просторный"
huge,[хъюдж],огромный
small,[смо:л],маленький
fat,[фэт],"толстый, жирный; жир"
slim,[слим],"тонкий, стройный"
thick,[сик],толстый; густой
thin,[син],тонкий
hungry,[хAнгри],голодный
full,[фул],сытый; полный
good,[гуд],хороший; добрый
excellent,[Эксэлэнт],"отличный, великолепный"
amazing,[эмЭйзинг],удивительный
fine,[файн],прекрасный; штраф; штрафовать
bad,[бэд],плохой
terrible,[тЭрибл],ужасный
nasty,[нЭсти],противный
early,['Ёли],ранний; рано
late,[лэйт],поздний; поздно
last,[ла:ст],"последний, прошлый"
next,[нэкст],следующий
free,[фри:],свободный; бесплатный
busy,[бИзи],занятый
hot,[хот],жаркий; горячий
warm,[уо:рм],тёплый; тепло
cold,[кOулд],холодный; холод; простуда
cool,[ку:л],прохладный; прохладно; круто; охлаждать(ся)
spicy,[спAйси],острый (по вкусу)
sharp,[ша:рп],острый (не тупой)
blunt,[блант],"тупой (нож, человек)"
stupid,[ступид],глупый
clever,[клЭвэр],умный
smart,[сма:рт],умный; нарядный
nice,[найс],"красивый, приятный"
beautiful,[бъЮ:тэфэл],красивая (о женщине)
handsome,[хЭнсэм],красивый (о мужчине)
attractive,[этрЭктив],привлекательный
pretty,[прИти],симпатичный
ugly,[Агли],уродливый
high,[хай],высокий
tall,[то:л],высокий (о росте)
short,[шо:рт],короткий; низкий (о росте)
low,[лОу],низкий; низко
long,[лонг],длинный; долгий
heavy,[хЭви],тяжёлый
light,[лайт],лёгкий; светлый; свет
difficult,[дИфикалт],"трудный, тяжелый"
easy,[И:зи],"легкий, нетрудный"
simple,[симпл],простой
dark,[да:рк],тёмный
expensive,[икспЭнсив],дорогой (по цене)
dear,[дИэр],"дорогой, милый"
cheap,[чи:п],дешёвый
poor,[пУэр],бедный; плохой
rich,[рич],богатый
straight,[стрэйт],прямой; прямо
left,[лэфт],левый; cлева; налево
right,[райт],"правый; правильный; справа; направо"
wrong,[ронг],неправильный
fast,[фаст],"быстрый, быстро"
quick,[куик],"быстрый, скорый"
slow,[слOу],медленный
soft,[софт],мягкий; нежный
hard,[ха:рд],"твёрдый; трудный; усердно"
sad,[сэд],печальный
glad,[глэд],радостный
happy,[хЭппи],счастливый
merry,[мЭри],веселый
kind,[кайнд],"добрый; вид, тип"
angry,[Энгри],сердитый
evil,[И:вэл],злой; зло
polite,[пэлАйт],вежливый
rude,[ру:д],грубый
gentle,[джэнтл],нежный
brave,[брэйв],смелый
coward,[кАуэрд],трусливый
shy,[шай],застенчивый
hard-working,[ха:рд уО:ркинг],трудолюбивый
lazy,[лЭйзи],ленивый
useful,[Ю:сфэл],полезный
useless,[Ю:слис],бесполезный
strong,[стронг],сильный
weak,[уИ:к],слабый
loud,[лАуд],громкий
noisy,[нОйзи],шумный
quiet,[куАйэт],тихий
calm,[ка:м],спокойный; успокаивать
narrow,[нЭроу],узкий
wide,[уАйд],широкий
clean,[кли:н],"чистый; чистить"
dirty,[дЁ:рти],грязный
tired,[тАйэрд],усталый
honest,[Онист],честный
comfortable,[кАмфэртэбэл],комфортный
strange,[стрэйндж],странный; чужой; незнакомый
weird,[уИэрд],странный
own,[Оун],собственный; владеть
tasty,[тЭйсти],вкусный
delicious,[дилИшес],очень вкусный
bitter,[бИтэр],горький
sour,[сАуэр],кислый
salty,[сО:лти],соленый
ready,[рЭди],готовый
careful,[кЭэфул],внимательный; осторожный
main,[мэйн],"основной, главный"
able,[эйбл],способный
necessary,[нЭсэсэри],необходимый
important,[импО:ртэнт],важный
sure,[шУэ],уверенный
fit,[фит],соответствовать
better,[бЭтэр],лучше; более хороший
best,[бэст],лучший
worse,[уо:рс],хуже; более плохой
worst,[уо:рст],худший
more,[мо:р],больше (по количеству); еще (больше)
most,[мОуст],наибольший; больше всего
less,[лэс],меньше (по количеству); менее
least,[ли:ст],наименьший; меньше всего
sometimes,[сАмтаймз],иногда
never,[нЭвэр],никогда
seldom,[сЭлдом],редко
usually,[Ю:жу:эли],обычно
often,[Оф(т)эн],часто
always,[O:лвэйз],всегда
soon,[су:н],скоро
recently,[рИ:сэнтли],недавно
well,[уЭл],хорошо; колодец
far,[фа:р],далеко
exactly,[игзЭктли],точно
probably,[прOбэбли],вероятно
maybe,[мЭйби],может быть
perhaps,[пёрхЭпс],"возможно, может быть"
really,[рИэли],"действительно, правда?"
of course,[ов кО:с],конечно!
certainly,[сЁ:тэнли],"конечно, безусловно"
obviously,[Обвиэсли],очевидно
especially,[испЭшэли],особенно
yes,[йес],да
no,[нOу],нет
not,[нот],не
this,[зис],этот
that,[зэт],что; тот; который
these,[зи:з],эти
those,[зОуз],те
many,[мЭни],много (+ слово во множественном числе)
much,[мач],много (+ слово в единственном числе)
few,[фъю:],мало (+ слово во множественном числе)
little,[литл],мало (+ слово в единственном числе); маленький
some,[сам],несколько; немного
any,[Эни],несколько; немного; любой
somebody,[сАмбоди],кто-то
anybody,[Энибоди],кто-то; все
nobody,[нОубоди],никто
something,[сАмсинг],что-то
anything,[Энисинг],"что-то, ничто, всё"
nothing,[насинг],ничто
here,[хИэ],здесь; сюда
there,[зЭэ],там; туда
now,[нAу],"сейчас, теперь"
again,[эгЭйн],"снова, опять"
then,[зэн],потом; тогда
than,[зЭн],чем (при сравнении)
already,[о:лрЭди],уже
just,[джаст],"только что; справедливый"
still,[стил],(всё) еще
yet,[йет],еще (не)
almost,[O:лмоуст],почти
several,[сЭвэрэл],несколько
very,[вЭри],очень
every,[Эври],каждый
each,[и:ч],каждый (по отдельности)
